csv_schema_version,result_id,run_id,run_model_id,run_started_at,run_ended_at,run_status,benchmark_name,benchmark_version,pibench_commit,pi_version,suite,run_task_count,run_passed,run_weighted_score,run_weighted_total,contributor,source_url,compute_mode,accelerators_used,host_platform,cpu_model,logical_cpus,memory_gib,accelerators_detected,cuda_toolkit_version,provider,model_id,model_arg,thinking_requested,thinking_effective,context_window,max_output,runtime_label,runtime_version,runtime_commit,runtime_build,runtime_compiler,llama_cpp_version,llama_cpp_build,llama_cpp_commit,llama_cpp_commit_date,model_format,quantization,model_artifact,model_sha256,context_size,kv_cache,gpu_layers,parallel,flash_attention,temperature,top_p,top_k,min_p,seed,batch_size,ubatch_size,threads,fit,fit_context_min,split_mode,tensor_split,reasoning,reasoning_format,reasoning_budget,speculation_method,speculative_tokens,task,task_category,check_kind,task_weight,passed,score,total,weighted_score,wall_s,approx_output_tokens,approx_output_tps
1,1,1,1,2026-05-29T21:49:54Z,2026-05-29T21:50:00Z,completed,pi_agent,1,,,custom-1,1,1,0.5,0.5,,,,[],Linux-6.12.88+deb13-amd64-x86_64-with-glibc2.41,AMD Ryzen 9 7900 12-Core Processor,24,61.966,"[""NVIDIA GeForce RTX 3090, 24576, 550.163.01""]",,local-llama,Qwen3.6-35B-A3B-APEX-MTP-Compact,local-llama/Qwen3.6-35B-A3B-APEX-MTP-Compact:off,off,qwen-chat-template:enable_thinking=false,131.1K,4.1K,llama.cpp,,,,,9203,llama.cpp b9203 (87589042c),87589042c,,,,,,,,,,,,,,,,,,,,,,,,,,,,json_exact,pi_agent,json_exact,0.5,1,,,0.5,0.611305,7,11.450912
1,2,1,2,2026-05-29T21:49:54Z,2026-05-29T21:50:00Z,completed,pi_agent,1,,,custom-1,1,1,0.5,0.5,,,,[],Linux-6.12.88+deb13-amd64-x86_64-with-glibc2.41,AMD Ryzen 9 7900 12-Core Processor,24,61.966,"[""NVIDIA GeForce RTX 3090, 24576, 550.163.01""]",,openai-codex,gpt-5.5,openai-codex/gpt-5.5:medium,medium,openai-responses:reasoning.effort=medium,272K,128K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,json_exact,pi_agent,json_exact,0.5,1,,,0.5,4.367794,7,1.60264
1,3,2,3,2026-05-29T21:53:53Z,2026-05-29T21:55:36Z,completed,pi_agent,1,,,custom-3,3,2,6.5,10.5,,,,[],Linux-6.12.88+deb13-amd64-x86_64-with-glibc2.41,AMD Ryzen 9 7900 12-Core Processor,24,61.966,"[""NVIDIA GeForce RTX 3090, 24576, 550.163.01""]",,local-llama,Qwen3.6-35B-A3B-APEX-MTP-Compact,local-llama/Qwen3.6-35B-A3B-APEX-MTP-Compact:off,off,qwen-chat-template:enable_thinking=false,131.1K,4.1K,llama.cpp,,,,,9203,llama.cpp b9203 (87589042c),87589042c,,,,,,,,,,,,,,,,,,,,,,,,,,,,lru_cache_hard,pi_agent,lru_cache_exec,3,1,,,3,1.875594,186,99.168563
1,4,2,3,2026-05-29T21:53:53Z,2026-05-29T21:55:36Z,completed,pi_agent,1,,,custom-3,3,2,6.5,10.5,,,,[],Linux-6.12.88+deb13-amd64-x86_64-with-glibc2.41,AMD Ryzen 9 7900 12-Core Processor,24,61.966,"[""NVIDIA GeForce RTX 3090, 24576, 550.163.01""]",,local-llama,Qwen3.6-35B-A3B-APEX-MTP-Compact,local-llama/Qwen3.6-35B-A3B-APEX-MTP-Compact:off,off,qwen-chat-template:enable_thinking=false,131.1K,4.1K,llama.cpp,,,,,9203,llama.cpp b9203 (87589042c),87589042c,,,,,,,,,,,,,,,,,,,,,,,,,,,,json_path_set_hard,pi_agent,json_path_set_exec,4,0,,,0,10.627675,1447,136.153956
1,5,2,3,2026-05-29T21:53:53Z,2026-05-29T21:55:36Z,completed,pi_agent,1,,,custom-3,3,2,6.5,10.5,,,,[],Linux-6.12.88+deb13-amd64-x86_64-with-glibc2.41,AMD Ryzen 9 7900 12-Core Processor,24,61.966,"[""NVIDIA GeForce RTX 3090, 24576, 550.163.01""]",,local-llama,Qwen3.6-35B-A3B-APEX-MTP-Compact,local-llama/Qwen3.6-35B-A3B-APEX-MTP-Compact:off,off,qwen-chat-template:enable_thinking=false,131.1K,4.1K,llama.cpp,,,,,9203,llama.cpp b9203 (87589042c),87589042c,,,,,,,,,,,,,,,,,,,,,,,,,,,,rate_limiter_hard,pi_agent,rate_limiter_exec,3.5,1,,,3.5,1.978448,220,111.198264
1,6,2,4,2026-05-29T21:53:53Z,2026-05-29T21:55:36Z,completed,pi_agent,1,,,custom-3,3,2,6.5,10.5,,,,[],Linux-6.12.88+deb13-amd64-x86_64-with-glibc2.41,AMD Ryzen 9 7900 12-Core Processor,24,61.966,"[""NVIDIA GeForce RTX 3090, 24576, 550.163.01""]",,openai-codex,gpt-5.5,openai-codex/gpt-5.5:medium,medium,openai-responses:reasoning.effort=medium,272K,128K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lru_cache_hard,pi_agent,lru_cache_exec,3,1,,,3,10.723189,373,34.784427
1,7,2,4,2026-05-29T21:53:53Z,2026-05-29T21:55:36Z,completed,pi_agent,1,,,custom-3,3,2,6.5,10.5,,,,[],Linux-6.12.88+deb13-amd64-x86_64-with-glibc2.41,AMD Ryzen 9 7900 12-Core Processor,24,61.966,"[""NVIDIA GeForce RTX 3090, 24576, 550.163.01""]",,openai-codex,gpt-5.5,openai-codex/gpt-5.5:medium,medium,openai-responses:reasoning.effort=medium,272K,128K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,json_path_set_hard,pi_agent,json_path_set_exec,4,0,,,0,49.448669,601,12.154018
1,8,2,4,2026-05-29T21:53:53Z,2026-05-29T21:55:36Z,completed,pi_agent,1,,,custom-3,3,2,6.5,10.5,,,,[],Linux-6.12.88+deb13-amd64-x86_64-with-glibc2.41,AMD Ryzen 9 7900 12-Core Processor,24,61.966,"[""NVIDIA GeForce RTX 3090, 24576, 550.163.01""]",,openai-codex,gpt-5.5,openai-codex/gpt-5.5:medium,medium,openai-responses:reasoning.effort=medium,272K,128K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rate_limiter_hard,pi_agent,rate_limiter_exec,3.5,1,,,3.5,27.46965,202,7.35357
1,9,3,5,2026-05-29T21:59:38Z,2026-05-29T22:01:57Z,completed,pi_agent,1,,,custom-2,2,1,5.5,6.5,,,,[],Linux-6.12.88+deb13-amd64-x86_64-with-glibc2.41,AMD Ryzen 9 7900 12-Core Processor,24,61.966,"[""NVIDIA GeForce RTX 3090, 24576, 550.163.01""]",,openai-codex,gpt-5.4,openai-codex/gpt-5.4:medium,medium,openai-responses:reasoning.effort=medium,272K,128K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,csv_infer_hard,pi_agent,csv_infer_exec,3.5,1,3,3,3.5,21.287313,463,21.750045
1,10,3,5,2026-05-29T21:59:38Z,2026-05-29T22:01:57Z,completed,pi_agent,1,,,custom-2,2,1,5.5,6.5,,,,[],Linux-6.12.88+deb13-amd64-x86_64-with-glibc2.41,AMD Ryzen 9 7900 12-Core Processor,24,61.966,"[""NVIDIA GeForce RTX 3090, 24576, 550.163.01""]",,openai-codex,gpt-5.4,openai-codex/gpt-5.4:medium,medium,openai-responses:reasoning.effort=medium,272K,128K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retry_schedule_hard,pi_agent,retry_schedule_exec,3,0,2,3,2,12.200102,299,24.507992
